Continent,Country,Country_Code
Africa,Angola,AGO
Africa,Burundi,BDI
Africa,Benin,BEN
Africa,Burkina Faso,BFA
Africa,Botswana,BWA
Africa,Central African Republic,CAF
Africa,Ivory Coast,CIV
Africa,Cameroon,CMR
Africa,Democratic Republic of the Congo,COD
Africa,Republic of the Congo,COG
Africa,Comoros,COM
Africa,Cape Verde,CPV
Africa,Djibouti,DJI
Africa,Algeria,DZA
Africa,Egypt,EGY
Africa,Eritrea,ERI
Africa,Ethiopia,ETH
Africa,Gabon,GAB
Africa,Ghana,GHA
Africa,Guinea,GIN
Africa,Gambia,GMB
Africa,Guinea-Bissau,GNB
Africa,Equatorial Guinea,GNQ
Africa,Kenya,KEN
Africa,Liberia,LBR
Africa,Libya,LBY
Africa,Lesotho,LSO
Africa,Morocco,MAR
Africa,Madagascar,MDG
Africa,Mali,MLI
Africa,Mozambique,MOZ
Africa,Mauritania,MRT
Africa,Mauritius,MUS
Africa,Malawi,MWI
Africa,Mayotte,MYT
Africa,Namibia,NAM
Africa,Niger,NER
Africa,Nigeria,NGA
Africa,Reunion,REU
Africa,Rwanda,RWA
Africa,Sudan,SDN
Africa,Senegal,SEN
Africa,Saint Helena,SHN
Africa,Sierra Leone,SLE
Africa,Somalia,SOM
Africa,South Sudan,SSD
Africa,Sao Tome and Principe,STP
Africa,Eswatini,SWZ
Africa,Seychelles,SYC
Africa,Chad,TCD
Africa,Togo,TGO
Africa,Tunisia,TUN
Africa,Tanzania,TZA
Africa,Uganda,UGA
Africa,Western Sahara,ESH
Africa,South Africa,ZAF
Africa,Zambia,ZMB
Africa,Zimbabwe,ZWE
Antarctic,Antarctica,ATA
Antarctic,Bouvet Island,BVT
Antarctic,French Southern Territories,ATF
Antarctic,Heard Island and McDonald Islands,HMD
Antarctic,South Georgia and the South Sandwich Islands,SGS
Arctic,Greenland,GRL
Arctic,Iceland,ISL
Arctic,Svalbard and Jan Mayen,SJM
Asia,Afghanistan,AFG
Asia,United Arab Emirates,ARE
Asia,Armenia,ARM
Asia,Azerbaijan,AZE
Asia,Bangladesh,BGD
Asia,Bahrain,BHR
Asia,British Indian Ocean Territory,IOT
Asia,Brunei,BRN
Asia,Bhutan,BTN
Asia,Cocos (Keeling) Islands,CCK
Asia,China,CHN
Asia,Christmas Island,CXR
Asia,Georgia,GEO
Asia,Hong Kong,HKG
Asia,Indonesia,IDN
Asia,India,IND
Asia,Iran,IRN
Asia,Iraq,IRQ
Asia,Israel,ISR
Asia,Jordan,JOR
Asia,Japan,JPN
Asia,Kazakhstan,KAZ
Asia,Kyrgyzstan,KGZ
Asia,Cambodia,KHM
Asia,South Korea,KOR
Asia,Kuwait,KWT
Asia,Laos,LAO
Asia,Lebanon,LBN
Asia,Sri Lanka,LKA
Asia,Macau,MAC
Asia,Maldives,MDV
Asia,Myanmar,MMR
Asia,Mongolia,MNG
Asia,Malaysia,MYS
Asia,Nepal,NPL
Asia,Oman,OMN
Asia,Pakistan,PAK
